user_id, session_id, timestamp          , country     , region      , page    , action            , time_spent, device , traffic_source, service        , converted, engagement_level, user_type
    853,      74413, 2024-03-02 07:31:00, India       , Mumbai      , Contact , Scroll            ,        272, Desktop, Paid Ads      , Risk Assessment,         0, High            , New
    250,      28834, 2024-04-15 11:02:00, India       , Mumbai      , About   , Page View         ,        319, Desktop, Social Media  , Risk Assessment,         0, High            , New
    271,      24349, 2024-05-19 21:50:00, Nigeria     , Lagos       , About   , Demo Request      ,         80, Desktop, Paid Ads      , Data Protection,         1, Low             , New
    456,      21027, 2024-06-04 08:18:00, Botswana    , Gaborone    , Home    , Scroll            ,        126, Mobile , Social Media  , Data Protection,         0, Medium          , Returning
    679,      85113, 2024-01-29 20:04:00, South Africa, Johannesburg, Services, Page View         ,         88, Mobile , Organic       , AI Security    ,         0, Low             , New
    445,      90440, 2024-03-08 12:43:00, Kenya       , Nairobi     , Contact , Page View         ,        383, Desktop, Direct        , AI Security    ,         0, High            , New
   1196,      38106, 2024-06-14 16:52:00, South Africa, Johannesburg, Home    , Demo Request      ,        176, Mobile , Organic       , AI Security    ,         1, Medium          , New
    563,      96395, 2024-02-03 19:43:00, Kenya       , Nairobi     , Services, Page View         ,         21, Mobile , Direct        , Cloud Security ,         0, Low             , New
    997,      75131, 2024-04-29 12:45:00, UK          , London      , Blog    , Page View         ,        126, Mobile , Social Media  , Data Protection,         0, Medium          , New
    147,      40612, 2024-05-24 03:15:00, Kenya       , Nairobi     , About   , Event Registration,         52, Desktop, Social Media  , Cloud Security ,         1, Low             , Returning
    180,      77040, 2024-01-13 10:19:00, UK          , London      , Pricing , Page View         ,        140, Desktop, Organic       , AI Security    ,         0, Medium          , Returning
     69,      69202, 2024-06-13 08:19:00, Botswana    , Gaborone    , Contact , Demo Request      ,        127, Mobile , Paid Ads      , AI Security    ,         1, Medium          , Returning
   1058,      22304, 2024-04-25 14:39:00, USA         , New York    , About   , Page View         ,         68, Mobile , Direct        , Risk Assessment,         0, Low             , New
    121,      32310, 2024-02-26 06:07:00, Kenya       , Nairobi     , Services, Click             ,        123, Mobile , Paid Ads      , Data Protection,         0, Medium          , New
    286,      75199, 2024-03-19 07:10:00, Kenya       , Nairobi     , Blog    , Page View         ,         83, Mobile , Organic       , Cloud Security ,         0, Low             , New
   1129,      17278, 2024-01-23 17:43:00, Botswana    , Gaborone    , About   , Page View         ,         38, Desktop, Organic       , Risk Assessment,         0, Low             , New
    531,      76378, 2024-04-04 06:08:00, UK          , London      , Blog    , Click             ,          5, Mobile , Social Media  , Cloud Security ,         0, Low             , Returning
    382,      27024, 2024-04-09 08:18:00, India       , Mumbai      , Services, Page View         ,        328, Desktop, Paid Ads      , AI Security    ,         0, High            , New
    850,      39026, 2024-04-19 20:16:00, USA         , New York    , Pricing , Page View         ,        240, Desktop, Paid Ads      , Cloud Security ,         0, Medium          , New
    572,      64695, 2024-06-21 00:02:00, Botswana    , Gaborone    , Blog    , Click             ,        122, Mobile , Paid Ads      , Risk Assessment,         0, Medium          , New
    445,      10752, 2024-05-18 04:02:00, UK          , London      , Services, Page View         ,         79, Desktop, Direct        , Data Protection,         0, Low             , New
    591,      75047, 2024-05-31 10:03:00, UK          , London      , About   , Page View         ,        133, Desktop, Organic       , Data Protection,         0, Medium          , Returning
    767,      35437, 2024-06-12 02:16:00, UK          , London      , Contact , Page View         ,        109, Desktop, Direct        , Cloud Security ,         0, Low             , New
    324,      97005, 2024-01-05 16:29:00, South Africa, Johannesburg, Home    , Demo Request      ,        149, Desktop, Direct        , Data Protection,         1, Medium          , Returning
    881,      45678, 2024-01-18 21:07:00, UK          , London      , Blog    , Page View         ,         40, Mobile , Direct        , Data Protection,         0, Low             , New
    667,      51628, 2024-06-22 05:47:00, USA         , New York    , Services, Page View         ,         35, Mobile , Social Media  , Cloud Security ,         0, Low             , New
    732,      69030, 2024-01-30 18:04:00, India       , Mumbai      , Services, Page View         ,         63, Desktop, Organic       , Cloud Security ,         0, Low             , Returning
    538,      54951, 2024-06-01 14:33:00, Kenya       , Nairobi     , Blog    , Page View         ,        167, Desktop, Social Media  , Cloud Security ,         0, Medium          , New
    672,      20980, 2024-06-06 15:13:00, Nigeria     , Lagos       , About   , Page View         ,        159, Desktop, Organic       , Data Protection,         0, Medium          , Returning
    444,      23156, 2024-05-16 07:09:00, South Africa, Johannesburg, Pricing , Page View         ,         40, Mobile , Social Media  , Data Protection,         0, Low             , Returning
   1119,      45171, 2024-03-23 20:37:00, Botswana    , Gaborone    , About   , Page View         ,        112, Desktop, Direct        , Cloud Security ,         0, Low             , Returning
   1108,      96264, 2024-03-24 10:03:00, Botswana    , Gaborone    , Pricing , Click             ,        110, Mobile , Social Media  , Risk Assessment,         0, Low             , New
     63,      90421, 2024-01-16 00:30:00, South Africa, Johannesburg, Pricing , Demo Request      ,        142, Mobile , Paid Ads      , Risk Assessment,         1, Medium          , Returning
   1191,      90534, 2024-01-02 04:36:00, Botswana    , Gaborone    , Blog    , Page View         ,        134, Mobile , Organic       , Risk Assessment,         0, Medium          , Returning
    584,      65149, 2024-05-08 03:26:00, India       , Mumbai      , Blog    , Page View         ,        169, Mobile , Direct        , Risk Assessment,         0, Medium          , New
     44,      43855, 2024-05-17 23:19:00, USA         , New York    , Services, Event Registration,         48, Mobile , Organic       , Cloud Security ,         1, Low             , New
    258,      18425, 2024-03-11 08:30:00, Botswana    , Gaborone    , Home    , Page View         ,        186, Desktop, Direct        , Data Protection,         0, Medium          , Returning
    681,      86127, 2024-02-10 18:33:00, India       , Mumbai      , About   , Page View         ,        157, Mobile , Organic       , Risk Assessment,         0, Medium          , Returning
    143,      33460, 2024-06-03 01:40:00, USA         , New York    , Pricing , Click             ,        241, Desktop, Paid Ads      , Risk Assessment,         0, Medium          , New
    289,      13604, 2024-04-12 17:57:00, India       , Mumbai      , Home    , Scroll            ,        171, Mobile , Organic       , Cloud Security ,         0, Medium          , New
   1167,      48690, 2024-02-11 21:53:00, USA         , New York    , Pricing , Page View         ,        182, Desktop, Direct        , AI Security    ,         0, Medium          , Returning
    516,      48095, 2024-03-09 07:23:00, Nigeria     , Lagos       , About   , Click             ,         13, Mobile , Social Media  , Cloud Security ,         0, Low             , Returning
    957,      59479, 2024-03-11 05:24:00, South Africa, Johannesburg, Services, Click             ,        119, Mobile , Social Media  , Risk Assessment,         0, Low             , Returning
    771,      42576, 2024-03-21 11:07:00, Kenya       , Nairobi     , Contact , Page View         ,         51, Desktop, Social Media  , Data Protection,         0, Low             , Returning
    942,      29523, 2024-04-16 06:14:00, South Africa, Johannesburg, Services, Click             ,         54, Mobile , Social Media  , Data Protection,         0, Low             , Returning
   1049,      35890, 2024-04-30 11:17:00, Nigeria     , Lagos       , Pricing , Page View         ,         28, Mobile , Paid Ads      , Risk Assessment,         0, Low             , New
    245,      58147, 2024-01-30 14:44:00, USA         , New York    , Contact , Page View         ,         34, Mobile , Direct        , Cloud Security ,         0, Low             , New
   1102,      93246, 2024-01-31 08:26:00, India       , Mumbai      , Contact , Page View         ,        146, Mobile , Social Media  , Risk Assessment,         0, Medium          , New
    979,      44613, 2024-06-22 20:19:00, UK          , London      , Pricing , Page View         ,        112, Desktop, Direct        , AI Security    ,         0, Low             , New
    824,      93150, 2024-05-06 03:36:00, India       , Mumbai      , Contact , Page View         ,        167, Desktop, Direct        , Data Protection,         0, Medium          , New
    148,      22201, 2024-06-01 13:21:00, Botswana    , Gaborone    , Home    , Click             ,        311, Desktop, Paid Ads      , Data Protection,         0, High            , New
    268,      75357, 2024-05-16 04:05:00, South Africa, Johannesburg, Pricing , Page View         ,         34, Desktop, Direct        , AI Security    ,         0, Low             , New
    367,      39672, 2024-04-16 16:12:00, Kenya       , Nairobi     , Services, Demo Request      ,        136, Desktop, Paid Ads      , Data Protection,         1, Medium          , New
    780,      90661, 2024-02-22 18:59:00, Kenya       , Nairobi     , Services, Page View         ,        124, Mobile , Paid Ads      , Cloud Security ,         0, Medium          , Returning
     63,      41897, 2024-02-12 21:52:00, Nigeria     , Lagos       , Pricing , Demo Request      ,         91, Desktop, Paid Ads      , Cloud Security ,         1, Low             , Returning
    331,      55831, 2024-04-23 06:35:00, India       , Mumbai      , Services, Page View         ,        270, Desktop, Direct        , AI Security    ,         0, High            , New
    432,      89908, 2024-04-09 03:30:00, South Africa, Johannesburg, Pricing , Event Registration,          6, Mobile , Social Media  , AI Security    ,         1, Low             , Returning
   1116,      54605, 2024-02-05 14:55:00, India       , Mumbai      , About   , Page View         ,        135, Desktop, Organic       , AI Security    ,         0, Medium          , Returning
    383,      97029, 2024-02-28 05:09:00, Botswana    , Gaborone    , Services, Scroll            ,         32, Mobile , Organic       , Risk Assessment,         0, Low             , New
    941,      43798, 2024-05-10 12:39:00, South Africa, Johannesburg, About   , Page View         ,        184, Desktop, Social Media  , Risk Assessment,         0, Medium          , New
    597,      74354, 2024-03-21 02:03:00, Kenya       , Nairobi     , Home    , Page View         ,        123, Mobile , Organic       , Cloud Security ,         0, Medium          , Returning
    958,      56271, 2024-05-10 10:32:00, India       , Mumbai      , Blog    , Page View         ,         88, Mobile , Organic       , Risk Assessment,         0, Low             , New
   1054,      80181, 2024-02-11 00:42:00, South Africa, Johannesburg, Blog    , Page View         ,        298, Desktop, Organic       , Cloud Security ,         0, High            , New
   1088,      91567, 2024-02-23 08:56:00, USA         , New York    , Pricing , Page View         ,        341, Desktop, Organic       , Cloud Security ,         0, High            , New
     29,      34836, 2024-01-14 22:48:00, USA         , New York    , Home    , Page View         ,        177, Desktop, Direct        , AI Security    ,         0, Medium          , New
    769,      82891, 2024-06-03 00:51:00, Kenya       , Nairobi     , About   , Page View         ,        162, Desktop, Organic       , AI Security    ,         0, Medium          , New
    452,      61732, 2024-04-21 10:18:00, Kenya       , Nairobi     , Contact , Page View         ,         42, Mobile , Social Media  , Cloud Security ,         0, Low             , New
    498,      98258, 2024-03-16 00:19:00, USA         , New York    , Contact , Page View         ,        355, Desktop, Direct        , AI Security    ,         0, High            , Returning
    427,      81604, 2024-04-05 15:24:00, India       , Mumbai      , Pricing , Page View         ,        157, Mobile , Paid Ads      , Data Protection,         0, Medium          , New
   1000,      67274, 2024-06-01 08:22:00, USA         , New York    , Pricing , Click             ,        287, Desktop, Social Media  , Cloud Security ,         0, High            , New
    266,      78771, 2024-06-20 12:12:00, Nigeria     , Lagos       , Home    , Demo Request      ,        125, Desktop, Paid Ads      , AI Security    ,         1, Medium          , New
    264,      30579, 2024-05-04 02:54:00, Botswana    , Gaborone    , Contact , Page View         ,        382, Desktop, Paid Ads      , Risk Assessment,         0, High            , Returning
    564,      92012, 2024-01-13 23:45:00, Botswana    , Gaborone    , Pricing , Page View         ,        143, Mobile , Direct        , Cloud Security ,         0, Medium          , Returning
    644,      70738, 2024-04-11 05:46:00, South Africa, Johannesburg, Blog    , Page View         ,        116, Mobile , Direct        , AI Security    ,         0, Low             , New
    419,      80475, 2024-06-29 01:02:00, India       , Mumbai      , Services, Page View         ,        226, Desktop, Social Media  , Risk Assessment,         0, Medium          , New
    799,      38142, 2024-04-18 00:52:00, Kenya       , Nairobi     , About   , Page View         ,         53, Mobile , Direct        , AI Security    ,         0, Low             , New
    762,      49273, 2024-04-20 21:39:00, UK          , London      , Services, Click             ,        166, Desktop, Social Media  , Risk Assessment,         0, Medium          , Returning
    498,      23977, 2024-05-31 21:06:00, USA         , New York    , Home    , Click             ,         98, Mobile , Social Media  , Data Protection,         0, Low             , Returning
    504,      34442, 2024-05-03 06:23:00, Nigeria     , Lagos       , Services, Demo Request      ,        230, Desktop, Organic       , Data Protection,         1, Medium          , Returning
    722,      56730, 2024-01-22 06:58:00, India       , Mumbai      , About   , Scroll            ,        220, Desktop, Direct        , Cloud Security ,         0, Medium          , New
    908,      23793, 2024-02-02 10:43:00, Nigeria     , Lagos       , Services, Scroll            ,        160, Mobile , Social Media  , Data Protection,         0, Medium          , New
    901,      53098, 2024-04-08 09:12:00, USA         , New York    , Pricing , Page View         ,        129, Mobile , Direct        , Data Protection,         0, Medium          , New
    733,      79048, 2024-05-08 22:44:00, Botswana    , Gaborone    , Services, Scroll            ,        179, Mobile , Paid Ads      , Cloud Security ,         0, Medium          , New
    989,      55011, 2024-04-24 18:55:00, USA         , New York    , Services, Page View         ,        105, Mobile , Paid Ads      , Data Protection,         0, Low             , New
    801,      61413, 2024-04-14 11:07:00, South Africa, Johannesburg, Blog    , Page View         ,         37, Mobile , Direct        , Data Protection,         0, Low             , Returning
    705,      17636, 2024-02-21 14:55:00, Botswana    , Gaborone    , Services, Event Registration,         32, Mobile , Social Media  , Risk Assessment,         1, Low             , Returning
     70,      24608, 2024-03-12 10:04:00, Botswana    , Gaborone    , Blog    , Demo Request      ,         28, Desktop, Organic       , Risk Assessment,         1, Low             , New
    328,      92170, 2024-03-05 19:45:00, Nigeria     , Lagos       , Home    , Click             ,        152, Mobile , Social Media  , Cloud Security ,         0, Medium          , New
   1015,      21313, 2024-04-18 13:01:00, India       , Mumbai      , About   , Page View         ,         19, Mobile , Social Media  , AI Security    ,         0, Low             , New
    479,      61238, 2024-06-28 22:40:00, India       , Mumbai      , Contact , Scroll            ,        133, Desktop, Direct        , AI Security    ,         0, Medium          , New
    114,      28431, 2024-05-16 13:33:00, USA         , New York    , Pricing , Page View         ,        199, Desktop, Paid Ads      , Data Protection,         0, Medium          , Returning
    338,      48410, 2024-04-29 11:54:00, India       , Mumbai      , Services, Demo Request      ,         56, Mobile , Social Media  , Risk Assessment,         1, Low             , New
    144,      46448, 2024-05-04 16:47:00, Kenya       , Nairobi     , Home    , Page View         ,        112, Mobile , Paid Ads      , AI Security    ,         0, Low             , Returning
    405,      75471, 2024-01-13 10:23:00, Kenya       , Nairobi     , Home    , Page View         ,        260, Desktop, Organic       , Cloud Security ,         0, High            , Returning
    237,      96764, 2024-03-01 21:04:00, Kenya       , Nairobi     , Services, Page View         ,         82, Mobile , Social Media  , Data Protection,         0, Low             , Returning
    913,      80094, 2024-02-25 19:39:00, Kenya       , Nairobi     , Home    , Page View         ,        185, Desktop, Social Media  , Data Protection,         0, Medium          , New
   1148,      11898, 2024-01-21 23:50:00, South Africa, Johannesburg, About   , Click             ,        211, Desktop, Direct        , AI Security    ,         0, Medium          , New
   1171,      98902, 2024-06-22 17:40:00, Kenya       , Nairobi     , Blog    , Scroll            ,        140, Mobile , Paid Ads      , AI Security    ,         0, Medium          , New
    147,      32937, 2024-05-25 14:19:00, Nigeria     , Lagos       , Services, Demo Request      ,         35, Desktop, Direct        , Risk Assessment,         1, Low             , Returning
    660,      30690, 2024-02-05 00:08:00, Nigeria     , Lagos       , About   , Click             ,        252, Desktop, Organic       , Risk Assessment,         0, High            , Returning
   1093,      29332, 2024-02-29 15:46:00, South Africa, Johannesburg, About   , Page View         ,        352, Desktop, Social Media  , AI Security    ,         0, High            , New
    776,      82029, 2024-03-07 00:46:00, India       , Mumbai      , Pricing , Demo Request      ,        303, Desktop, Organic       , Data Protection,         1, High            , New
    897,      71369, 2024-06-16 21:51:00, South Africa, Johannesburg, Services, Scroll            ,         25, Desktop, Paid Ads      , Risk Assessment,         0, Low             , Returning
    495,      95230, 2024-06-15 22:50:00, UK          , London      , Pricing , Click             ,          6, Mobile , Direct        , Risk Assessment,         0, Low             , Returning
     52,      50521, 2024-03-04 15:23:00, Kenya       , Nairobi     , Contact , Demo Request      ,        137, Mobile , Paid Ads      , Cloud Security ,         1, Medium          , New
     48,      15776, 2024-03-12 03:56:00, Botswana    , Gaborone    , Services, Page View         ,         95, Mobile , Paid Ads      , Data Protection,         0, Low             , Returning
   1089,      90285, 2024-06-09 03:14:00, Nigeria     , Lagos       , About   , Demo Request      ,         62, Desktop, Organic       , Risk Assessment,         1, Low             , Returning
    950,      86585, 2024-05-31 01:08:00, UK          , London      , Pricing , Page View         ,        126, Desktop, Direct        , Data Protection,         0, Medium          , New
    420,      42948, 2024-06-23 01:12:00, South Africa, Johannesburg, Contact , Click             ,        231, Desktop, Organic       , AI Security    ,         0, Medium          , Returning
    731,      24866, 2024-01-21 21:17:00, Nigeria     , Lagos       , Services, Click             ,        113, Mobile , Social Media  , AI Security    ,         0, Low             , New
   1089,      12406, 2024-03-08 20:16:00, Kenya       , Nairobi     , Home    , Page View         ,         96, Desktop, Organic       , Data Protection,         0, Low             , Returning
   1150,      35035, 2024-06-05 20:55:00, India       , Mumbai      , About   , Page View         ,         44, Desktop, Direct        , Cloud Security ,         0, Low             , New
   1065,      47354, 2024-04-25 02:07:00, Nigeria     , Lagos       , Pricing , Page View         ,         34, Desktop, Direct        , Risk Assessment,         0, Low             , Returning
    905,      30692, 2024-04-19 23:17:00, UK          , London      , About   , Page View         ,        157, Mobile , Organic       , AI Security    ,         0, Medium          , New
    383,      46098, 2024-03-02 22:44:00, UK          , London      , About   , Demo Request      ,        132, Desktop, Direct        , Risk Assessment,         1, Medium          , New
    316,      43753, 2024-06-17 02:29:00, Nigeria     , Lagos       , Services, Page View         ,        195, Desktop, Social Media  , Data Protection,         0, Medium          , New
    209,      75754, 2024-06-28 23:53:00, USA         , New York    , Services, Click             ,        181, Desktop, Paid Ads      , Data Protection,         0, Medium          , New
    409,      21013, 2024-03-09 12:24:00, UK          , London      , Blog    , Page View         ,         33, Mobile , Organic       , Cloud Security ,         0, Low             , New
    274,      71660, 2024-02-13 05:30:00, India       , Mumbai      , Services, Page View         ,        163, Desktop, Paid Ads      , Risk Assessment,         0, Medium          , New
    754,      66022, 2024-04-03 18:41:00, UK          , London      , Services, Page View         ,         41, Mobile , Social Media  , AI Security    ,         0, Low             , New
    556,      89385, 2024-05-30 05:27:00, South Africa, Johannesburg, Pricing , Page View         ,        174, Desktop, Social Media  , Cloud Security ,         0, Medium          , New
    457,      66003, 2024-01-05 02:23:00, Nigeria     , Lagos       , Home    , Demo Request      ,         93, Mobile , Direct        , Data Protection,         1, Low             , New
    183,      21388, 2024-06-03 01:26:00, Botswana    , Gaborone    , Blog    , Scroll            ,        378, Desktop, Direct        , Data Protection,         0, High            , Returning
    863,      34757, 2024-04-19 16:06:00, Kenya       , Nairobi     , About   , Scroll            ,         16, Mobile , Organic       , AI Security    ,         0, Low             , New
    718,      29612, 2024-05-03 11:26:00, South Africa, Johannesburg, Services, Scroll            ,         63, Mobile , Direct        , Data Protection,         0, Low             , New
    527,      89532, 2024-03-21 08:41:00, Nigeria     , Lagos       , Contact , Click             ,        264, Desktop, Social Media  , AI Security    ,         0, High            , New
    459,      27146, 2024-04-09 11:39:00, Botswana    , Gaborone    , Contact , Event Registration,        146, Mobile , Paid Ads      , Data Protection,         1, Medium          , Returning
     91,      35694, 2024-05-05 07:11:00, USA         , New York    , Blog    , Page View         ,        381, Desktop, Organic       , AI Security    ,         0, High            , New
    350,      45839, 2024-02-06 20:40:00, UK          , London      , Services, Click             ,        134, Mobile , Paid Ads      , Data Protection,         0, Medium          , New
    796,      29791, 2024-01-20 18:51:00, Nigeria     , Lagos       , Pricing , Page View         ,        379, Desktop, Organic       , Risk Assessment,         0, High            , New
    117,      34217, 2024-05-03 07:41:00, Nigeria     , Lagos       , Pricing , Page View         ,        211, Desktop, Direct        , Data Protection,         0, Medium          , Returning
    990,      76572, 2024-02-21 10:15:00, Kenya       , Nairobi     , Contact , Demo Request      ,        144, Mobile , Paid Ads      , AI Security    ,         1, Medium          , Returning
    611,      88655, 2024-05-16 09:32:00, South Africa, Johannesburg, Contact , Click             ,         24, Desktop, Organic       , Risk Assessment,         0, Low             , New
    943,      16494, 2024-06-04 23:52:00, USA         , New York    , About   , Page View         ,        334, Desktop, Social Media  , Data Protection,         0, High            , New
    881,      23554, 2024-06-29 10:00:00, Nigeria     , Lagos       , About   , Event Registration,        175, Desktop, Organic       , AI Security    ,         1, Medium          , New
    675,      18775, 2024-02-07 07:01:00, India       , Mumbai      , Blog    , Demo Request      ,        171, Desktop, Direct        , Cloud Security ,         1, Medium          , Returning
      7,      68244, 2024-01-21 09:17:00, Nigeria     , Lagos       , Pricing , Scroll            ,        116, Mobile , Social Media  , Data Protection,         0, Low             , New
    556,      67261, 2024-01-19 03:21:00, USA         , New York    , Home    , Scroll            ,        172, Mobile , Direct        , Data Protection,         0, Medium          , New
    397,      36895, 2024-04-08 22:37:00, South Africa, Johannesburg, Blog    , Scroll            ,          5, Mobile , Social Media  , AI Security    ,         0, Low             , New
    501,      27484, 2024-01-10 11:20:00, Nigeria     , Lagos       , Services, Demo Request      ,        127, Mobile , Paid Ads      , Data Protection,         1, Medium          , Returning
    447,      19205, 2024-06-07 14:54:00, Botswana    , Gaborone    , Home    , Click             ,        180, Desktop, Direct        , Cloud Security ,         0, Medium          , Returning
    402,      50350, 2024-01-13 05:22:00, India       , Mumbai      , Blog    , Page View         ,        221, Desktop, Paid Ads      , AI Security    ,         0, Medium          , Returning
    128,      78320, 2024-06-19 07:41:00, UK          , London      , Pricing , Scroll            ,        156, Desktop, Paid Ads      , AI Security    ,         0, Medium          , New
     45,      53851, 2024-06-12 03:36:00, South Africa, Johannesburg, About   , Page View         ,        256, Desktop, Direct        , Cloud Security ,         0, High            , Returning
    979,      20332, 2024-06-15 22:03:00, Kenya       , Nairobi     , Blog    , Click             ,         29, Mobile , Organic       , AI Security    ,         0, Low             , New
    298,      71525, 2024-03-07 17:44:00, India       , Mumbai      , About   , Scroll            ,        282, Desktop, Organic       , Data Protection,         0, High            , New
    601,      13375, 2024-05-02 04:24:00, USA         , New York    , Pricing , Page View         ,        127, Mobile , Paid Ads      , Risk Assessment,         0, Medium          , New
